timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569118344.7469600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0473965,0.0374792,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.7469700,,,,,,,,,,,,,,,,,,,,,nan,0.742272,0.694947,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.7470100,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.118691,0.124579,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.7470300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0221576,0.00436404,nan,,,,,,,,,,,,,,,,,,,,,0
1569118344.7470500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118344.7470600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118344.7470700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118344.7470900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118344.7471000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118344.8483800,,,,,,,,,0.0,0.215837,0.677924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484200,,,,,,,,,,,,,0.0,0.00743818,0.0843581,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484300,0.0,1.25503,1.30877,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484500,,,,,0.0,0.439666,0.650232,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484600,,,,,,,,,,,,,,,,,0.0,-0.306462,-0.831961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0687855,0.153889,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8484800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0425694,0.0392321,nan,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8485000,,,,,,,,,,,,,,,,,,,,,nan,0.752816,0.657739,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8485300,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.115166,0.144383,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.8485500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,0.0206632,0.00475688,nan,,,,,,,,,,,,,,,,,,,,,0
1569118344.8485700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0
1569118344.8485900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0
1569118344.8485900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0
1569118344.8486100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0
1569118344.8486200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1569118344.9499000,,,,,,,,,0.0,0.215837,0.677924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9499400,,,,,,,,,,,,,0.0,-0.0220395,0.0500244,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9499500,0.0,1.24068,1.24533,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9499700,,,,,0.0,0.431503,0.650156,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569118344.9499800,,,,,,,,,,,,,,,,,0.0,-0.323003,-0.833772,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
